0,10AM,6PM,19MFF-00059,865 MARKET ST,1336921,,10:00,18:00,8747103,07/17/2012 04:14:14 PM,07/17/2012 04:15:13 PM,3705,42,N,37.784528305570300,-122.40727231814400
3,10AM,11AM,19MFF-00061,1477 GROVE ST,1336963,,10:00,11:00,6565000,05/12/2011 07:55:50 AM,05/12/2011 07:56:16 AM,1200,15,Y,37.775500790207900,-122.44089299009000
1,9AM,10AM,19MFF-00061,1265 GROVE ST,1336962,,09:00,10:00,6563000,05/12/2011 07:53:00 AM,05/12/2011 07:53:33 AM,1202,002D,Y,37.775946808877800,-122.43738357760600
3,6AM,6PM,19MFF-00058,735 MONTGOMERY ST,1336890,,06:00,18:00,9306000,08/12/2014 02:01:27 PM,08/21/2014 08:24:06 AM,195,1,N,37.795838484437900,-122.40344930127000
4,10AM,11AM,19MFF-00061,3253 16TH ST,1336964,,10:00,11:00,736000,05/12/2011 08:13:54 AM,10/24/2011 04:38:44 PM,3567,39,Y,37.764654753703400,-122.42532032548100
4,10AM,11AM,19MFF-00061,2145 MARKET ST,1336965,,10:00,11:00,8764101,05/12/2011 08:15:29 AM,10/24/2011 04:39:00 PM,3543,003B,Y,37.766712422593400,-122.42971274952500
1,10AM,6PM,19MFF-00059,865 MARKET ST,1336921,,10:00,18:00,8747103,07/17/2012 04:14:14 PM,07/17/2012 04:15:13 PM,3705,42,N,37.784528305570300,-122.40727231814400
1,10AM,11AM,19MFF-00061,3253 16TH ST,1336964,,10:00,11:00,736000,05/12/2011 08:13:54 AM,10/24/2011 04:38:44 PM,3567,39,Y,37.764654753703400,-122.42532032548100
1,9AM,10AM,19MFF-00061,949 PRESIDIO AVE,1336959,,09:00,10:00,10770000,05/12/2011 07:54:33 AM,05/12/2011 07:55:00 AM,1072,1,Y,37.782999444484500,-122.44599708608900
2,11AM,12PM,19MFF-00061,401 23RD ST,1336960,,11:00,12:00,1232000,05/12/2011 08:27:13 AM,05/12/2011 08:27:36 AM,4232,10,Y,37.755519731943500,-122.38499993738300
4,11AM,3PM,19MFF-00061,170 OTIS ST,1336958,,11:00,15:00,10048000,05/12/2011 08:30:17 AM,10/24/2011 04:39:33 PM,3513,7,Y,37.77056784888580,-122.42027326235600
3,10AM,2PM,19MFF-00065,90 BROADWAY,1337052,,10:00,14:00,5874000,12/24/2014 02:28:47 PM,12/24/2014 02:29:29 PM,140,7,N,37.798811568758900,-122.39966472178900
5,11AM,12PM,19MFF-00061,401 23RD ST,1336960,,11:00,12:00,1232000,05/12/2011 08:27:13 AM,05/12/2011 08:27:36 AM,4232,10,Y,37.755519731943500,-122.38499993738300
1,9AM,6PM,19MFF-00063,333 BRANNAN ST,1337050,,09:00,18:00,3075000,11/14/2016 08:57:49 AM,11/14/2016 08:58:36 AM,3788,42,N,37.781299188302400,-122.39267151406800
3,10AM,11AM,19MFF-00061,3253 16TH ST,1336964,,10:00,11:00,736000,05/12/2011 08:13:54 AM,10/24/2011 04:38:44 PM,3567,39,Y,37.764654753703400,-122.42532032548100
2,10AM,11AM,19MFF-00061,3253 16TH ST,1336964,,10:00,11:00,736000,05/12/2011 08:13:54 AM,10/24/2011 04:38:44 PM,3567,39,Y,37.764654753703400,-122.42532032548100
1,6AM,3PM,19MFF-00058,250 PINE ST,1336886,,06:00,15:00,10455000,01/03/2017 07:50:45 AM,01/17/2017 09:39:19 AM,261,7,N,37.792235955775500,-122.40037044651100
5,9AM,3PM,19MFF-00066,225 BATTERY ST,1337053,,09:00,15:00,2754000,09/16/2016 09:37:49 AM,09/16/2016 09:38:54 AM,238,2,N,37.793605141828200,-122.40011022472800
2,10AM,2PM,19MFF-00060,351 CALIFORNIA ST,1336955,,10:00,14:00,3527000,09/18/2018 12:51:26 PM,02/12/2019 03:05:48 PM,261,010A,N,37.793079029560400,-122.4005427649550
5,6AM,3PM,19MFF-00058,250 PINE ST,1336886,,06:00,15:00,10455000,01/03/2017 07:50:45 AM,01/17/2017 09:39:19 AM,261,7,N,37.792235955775500,-122.40037044651100
3,9AM,3PM,19MFF-00064,1 BUSH ST,1337051,,09:00,15:00,3419000,03/27/2015 08:57:17 AM,03/27/2015 08:57:49 AM,290,11,N,37.790990760680300,-122.39921223340100
5,10AM,2PM,19MFF-00065,90 BROADWAY,1337052,,10:00,14:00,5874000,12/24/2014 02:28:47 PM,12/24/2014 02:29:29 PM,140,7,N,37.798811568758900,-122.39966472178900
2,10AM,6PM,19MFF-00059,865 MARKET ST,1336921,,10:00,18:00,8747103,07/17/2012 04:14:14 PM,07/17/2012 04:15:13 PM,3705,42,N,37.784528305570300,-122.40727231814400
6,10AM,6PM,19MFF-00059,865 MARKET ST,1336921,,10:00,18:00,8747103,07/17/2012 04:14:14 PM,07/17/2012 04:15:13 PM,3705,42,N,37.784528305570300,-122.40727231814400
2,10AM,11AM,19MFF-00061,1477 GROVE ST,1336963,,10:00,11:00,6565000,05/12/2011 07:55:50 AM,05/12/2011 07:56:16 AM,1200,15,Y,37.775500790207900,-122.44089299009000
1,6AM,6PM,19MFF-00058,735 MONTGOMERY ST,1336890,,06:00,18:00,9306000,08/12/2014 02:01:27 PM,08/21/2014 08:24:06 AM,195,1,N,37.795838484437900,-122.40344930127000
3,9AM,10AM,19MFF-00061,1265 GROVE ST,1336962,,09:00,10:00,6563000,05/12/2011 07:53:00 AM,05/12/2011 07:53:33 AM,1202,002D,Y,37.775946808877800,-122.43738357760600
